epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,1270.89,0.95417,2.06744,0.29319,0.53181,1.1115,0.96597,0.95455,0.96409,0.73244,0.9425,0.93182,0.93632,0.61959,1.01395,1.75696,0.14593,0.45244,1.26908,0.0013796,0.0013796,0.0013796
49,1297.37,0.946,2.05632,0.2897,0.52153,1.11012,0.95305,0.95455,0.94544,0.71792,0.88498,0.88636,0.86722,0.59319,1.01401,1.8019,0.14791,0.45926,1.29342,0.0013664,0.0013664,0.0013664
50,1323.42,0.95373,1.97752,0.28574,0.5285,1.10855,0.95319,0.95455,0.9655,0.74631,0.9305,0.93182,0.94098,0.63179,0.96585,1.65061,0.15837,0.44844,1.23079,0.0013532,0.0013532,0.0013532
51,1349.95,0.90324,1.93496,0.27336,0.49819,1.07235,0.95254,0.95455,0.95411,0.70043,0.8845,0.88636,0.88792,0.57657,0.99989,2.16301,0.15132,0.49844,1.21791,0.00134,0.00134,0.00134
52,1376.48,0.89963,1.83883,0.27071,0.49872,1.07973,0.95427,0.94869,0.96894,0.74287,0.93145,0.92653,0.9395,0.6754,0.97692,1.72577,0.15421,0.48434,1.2128,0.0013268,0.0013268,0.0013268
53,1403.02,0.93824,1.91055,0.28306,0.50175,1.09639,0.9531,0.95455,0.96235,0.7539,0.93041,0.93182,0.93576,0.62504,0.95133,1.79567,0.13843,0.45961,1.19878,0.0013136,0.0013136,0.0013136
54,1429.55,0.92242,2.01514,0.29172,0.50862,1.09083,0.97612,0.93182,0.96675,0.73137,0.90769,0.90909,0.9025,0.60241,0.97774,1.75221,0.16184,0.45472,1.20828,0.0013004,0.0013004,0.0013004
55,1455.94,0.88515,1.92535,0.26639,0.47726,1.09052,0.95252,0.95455,0.95926,0.71294,0.92984,0.93182,0.92542,0.57855,1.00166,1.77274,0.15095,0.45515,1.25686,0.0012872,0.0012872,0.0012872
56,1482.48,0.90492,2.01115,0.28031,0.50426,1.07809,0.94849,0.95455,0.95094,0.73386,0.90321,0.90909,0.89957,0.65502,0.94255,1.69905,0.15171,0.4586,1.22627,0.001274,0.001274,0.001274
57,1509.01,0.89007,1.83291,0.27032,0.49805,1.07622,0.95273,0.95455,0.95537,0.72809,0.93004,0.93182,0.92448,0.57106,0.97669,1.83877,0.14713,0.45052,1.20761,0.0012608,0.0012608,0.0012608
